,index,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template,task,sub_id,exp,Correct,Shorter,Length
6821,19652,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,765,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech7,1467,109,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,7
6822,19653,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,225,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech3,845,110,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,3
6823,19654,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,437,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech5,1088,111,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,5
6824,19655,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,482,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech4,1122,112,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,4
6825,19656,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,276,[],choice-response,At,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech1,849,113,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,1,1
6826,19657,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,907,[],choice-response,At,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech2,1507,114,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,1,2
6827,19658,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,779,[],choice-response,At,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech3,1404,115,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,1,3
6828,19659,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,1015,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech8,1738,116,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,8
6829,19660,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,391,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech6,1073,117,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,6
6830,19661,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,248,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech5,907,118,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,5
