"","participant_id","sub_id","exp","Onset","Length","Shorter","Correct","rLength","fOnset","Explabel","fOnsetE"
"102","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",6,0,0,0.654645188925333,"late","EXP10b","late"
"103","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",8,1,0,1.52750544082578,"ontime","EXP10b","ontime"
"104","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",5,1,0,0.218215062975111,"ontime","EXP10b","ontime"
"105","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",5,0,0,0.218215062975111,"late","EXP10b","late"
"106","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",6,0,0,0.654645188925333,"ontime","EXP10b","ontime"
"107","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",2,1,0,-1.09107531487555,"early","EXP10b","early"
"108","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",1,1,0,-1.52750544082578,"ontime","EXP10b","ontime"
"109","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",7,0,0,1.09107531487555,"late","EXP10b","late"
"110","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",1,1,0,-1.52750544082578,"early","EXP10b","early"
"111","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",5,0,0,0.218215062975111,"early","EXP10b","early"
"112","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",2,1,0,-1.09107531487555,"late","EXP10b","late"
"113","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",8,0,0,1.52750544082578,"early","EXP10b","early"
"114","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",7,0,0,1.09107531487555,"early","EXP10b","early"
"115","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",3,1,0,-0.654645188925333,"early","EXP10b","early"
"116","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",4,0,0,-0.218215062975111,"ontime","EXP10b","ontime"
"117","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",4,0,0,-0.218215062975111,"late","EXP10b","late"
"118","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",2,1,0,-1.09107531487555,"ontime","EXP10b","ontime"
"119","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",1,1,0,-1.52750544082578,"late","EXP10b","late"
"120","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",7,0,0,1.09107531487555,"ontime","EXP10b","ontime"
"121","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",4,0,0,-0.218215062975111,"ontime","EXP10b","ontime"
"122","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",6,0,0,0.654645188925333,"late","EXP10b","late"
"123","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",1,1,0,-1.52750544082578,"late","EXP10b","late"
"124","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",2,1,0,-1.09107531487555,"ontime","EXP10b","ontime"
